problem,family,n,group,algorithm,temperature,temp_str,train_set,seed,edges,n_selected,f1,time,train_sp,test_sp,test1_sp,test2_sp,train_ll,test_ll,test1_ll,test2_ll,train_kl,test_kl,test1_kl,test2_kl,ll_s0,kl_s0,sp_s0,ll_s1,kl_s1,sp_s1,ll_s2,kl_s2,sp_s2
Braid_100,Braid,100,large,k2_ensemble,1.0,1.0,0,1,0.0,800.0,0.0,0.54401684,0.11316988,-0.041915239,-0.059509516,-0.024320962,-138.3672,-138.62877500000002,-138.60308,-138.65447,0.35822404,0.36594851500000003,0.37876459,0.35313244,-138.3672,0.35822404,0.11316988,-138.60308,0.37876459,-0.059509516,-138.65447,0.35313244,-0.024320962
Braid_100,Braid,100,large,k2_ensemble,10.0,10,0,1,0.0,800.0,0.0,0.52760744,0.077256376,-0.042290096,-0.064494127,-0.020086065,-138.36372,-138.62221499999998,-138.59794,-138.64649,0.34550727,0.33410839000000003,0.34400044,0.32421634,-138.36372,0.34550727,0.077256376,-138.59794,0.34400044,-0.064494127,-138.64649,0.32421634,-0.020086065
Braid_100,Braid,100,large,k2_mb,0.1,0.1,0,1,294.0,800.0,0.086513995,69.038123,0.51401267,0.004248368000000001,0.035740885,-0.027244149,-165.51099,-184.709625,-184.896,-184.52325,35.421207,36.995402,40.079535,33.911269,-165.51099,35.421207,0.51401267,-184.896,40.079535,0.035740885,-184.52325,33.911269,-0.027244149
Braid_100,Braid,100,large,k2_mb,1.0,1.0,0,1,0.0,800.0,0.0,21.377125,0.11316988,-0.041915239,-0.059509516,-0.024320962,-138.3672,-138.62877500000002,-138.60308,-138.65447,0.35822404,0.36594851500000003,0.37876459,0.35313244,-138.3672,0.35822404,0.11316988,-138.60308,0.37876459,-0.059509516,-138.65447,0.35313244,-0.024320962
Braid_100,Braid,100,large,k2_mb,10.0,10,0,1,0.0,800.0,0.0,18.671419,0.077256376,-0.042290096,-0.064494127,-0.020086065,-138.36372,-138.62221499999998,-138.59794,-138.64649,0.34550727,0.33410839000000003,0.34400044,0.32421634,-138.36372,0.34550727,0.077256376,-138.59794,0.34400044,-0.064494127,-138.64649,0.32421634,-0.020086065
Braid_100,Braid,100,large,k2_mi,0.1,0.1,0,1,294.0,800.0,0.030534351,3.6214807,0.52547289,0.01270379435,0.0024933767,0.022914212,-164.57707,-184.145145,-184.33288,-183.95741,35.079761,22.337688,21.675408,22.999968,-164.57707,35.079761,0.52547289,-184.33288,21.675408,0.0024933767,-183.95741,22.999968,0.022914212
Braid_100,Braid,100,large,k2_mi,1.0,1.0,0,1,0.0,800.0,0.0,0.58819723,0.11316988,-0.041915239,-0.059509516,-0.024320962,-138.3672,-138.62877500000002,-138.60308,-138.65447,0.35822404,0.36594851500000003,0.37876459,0.35313244,-138.3672,0.35822404,0.11316988,-138.60308,0.37876459,-0.059509516,-138.65447,0.35313244,-0.024320962
Braid_100,Braid,100,large,k2_mi,10.0,10,0,1,0.0,800.0,0.0,0.58096814,0.077256376,-0.042290096,-0.064494127,-0.020086065,-138.36372,-138.62221499999998,-138.59794,-138.64649,0.34550727,0.33410839000000003,0.34400044,0.32421634,-138.36372,0.34550727,0.077256376,-138.59794,0.34400044,-0.064494127,-138.64649,0.32421634,-0.020086065
Braid_100,Braid,100,large,k2_plus,0.1,0.1,0,1,293.0,800.0,0.020408163,5.2367573,0.52034202,-0.0142504491,-0.022966837,-0.0055340612,-164.42603,-182.000275,-181.87808,-182.12247,36.55461,32.0359025,35.731186,28.340619,-164.42603,36.55461,0.52034202,-181.87808,35.731186,-0.022966837,-182.12247,28.340619,-0.0055340612
Braid_100,Braid,100,large,k2_plus,1.0,1.0,0,1,0.0,800.0,0.0,0.44739914,0.11316988,-0.041915239,-0.059509516,-0.024320962,-138.3672,-138.62877500000002,-138.60308,-138.65447,0.35822404,0.36594851500000003,0.37876459,0.35313244,-138.3672,0.35822404,0.11316988,-138.60308,0.37876459,-0.059509516,-138.65447,0.35313244,-0.024320962
